Sample: OLID 9
Temperature: 1200 C
Time: 117 hrs
log[fO2 (bars)] = -11.98

Distance (microns)  X_Mn    X_Mg		X_Fe
0.00E+00	2.50E-03	0.8329284	0.1645712
1	1.23E-03	0.8360269	0.1627408
2	1.98E-03	0.8401669	0.1578538
3	2.50E-03	0.8374956	0.16
4	1.76E-03	0.8361574	0.1620812
5	2.30E-03	0.8370951	0.1606089
6	2.61E-03	0.836924	0.1604668
7	2.65E-03	0.8360505	0.1613028
8	2.93E-03	0.8381523	0.158921
9	2.37E-03	0.8369969	0.1606315
10	2.89E-03	0.8317727	0.1653408
11	1.98E-03	0.8386241	0.1593941
12	2.26E-03	0.8390387	0.1587027
13	1.90E-03	0.8366836	0.1614152
14	1.66E-03	0.8373103	0.1610307
15	2.05E-03	0.838929	0.1590168
16	2.50E-03	0.8335036	0.1639956
17	1.34E-03	0.8379036	0.1607552
18	2.72E-03	0.8360395	0.1612425
19	2.05E-03	0.8358551	0.1620993
20	2.50E-03	0.8361078	0.1613882
21	2.65E-03	0.8372101	0.1601386
22	1.38E-03	0.8361606	0.1624611
23	2.48E-03	0.83868	0.1588414
24	2.72E-03	0.8364842	0.1608
25	2.12E-03	0.8351567	0.1627191
26	1.56E-03	0.8376414	0.1607985
27	2.61E-03	0.836566	0.1608196
28	1.66E-03	0.8374227	0.1609179
29	1.87E-03	0.8367145	0.1614123
30	2.54E-03	0.8349583	0.1624982
31	2.16E-03	0.8380834	0.1597596
32	1.84E-03	0.8344881	0.1636736
33	2.20E-03	0.8339885	0.163816
34	1.95E-03	0.8349724	0.1630819
35	1.80E-03	0.8357903	0.1624068
36	1.80E-03	0.8374567	0.1607408
37	1.73E-03	0.8408343	0.1574333
38	1.56E-03	0.8397138	0.1587279
39	2.16E-03	0.8369899	0.160855
40	2.05E-03	0.838577	0.1593679
41	1.99E-03	0.8378311	0.160183
42	2.02E-03	0.8398699	0.1581144
43	2.23E-03	0.8402321	0.1575391
44	2.08E-03	0.8407189	0.1571978
45	2.56E-03	0.8386563	0.1587873
46	1.49E-03	0.8265481	0.1719579
47	1.83E-03	0.832826	0.1653476
48	1.74E-03	0.8332683	0.1649945
49	2.31E-03	0.8387544	0.1589376
50	2.16E-03	0.8368977	0.160946
51	3.00E-03	0.8355356	0.1614613
52	1.70E-03	0.8376175	0.1606807
53	2.02E-03	0.838311	0.1596648
54	1.24E-03	0.838523	0.1602343
55	2.70E-03	0.8377023	0.1595945
56	2.20E-03	0.8374301	0.160374
57	1.81E-03	0.8377994	0.1603904
58	1.17E-03	0.8407654	0.1580629
59	2.44E-03	0.8369003	0.1606548
60	2.41E-03	0.8396257	0.1579638
61	1.70E-03	0.8367513	0.1615485
62	1.95E-03	0.838314	0.1597362
63	1.17E-03	0.840368	0.1584595
64	2.30E-03	0.8426557	0.1550475
65	1.91E-03	0.8439093	0.1541785
66	1.84E-03	0.848649	0.1495095
67	2.06E-03	0.8479698	0.149968
68	1.98E-03	0.8509082	0.1471129
69	1.90E-03	0.8540403	0.1440558
70	2.42E-03	0.8593884	0.1381934
71	2.05E-03	0.8629889	0.1349561
72	1.88E-03	0.8717059	0.1264168
73	1.69E-03	0.8808827	0.1174252
74	1.31E-03	0.8922525	0.1064343
75	1.17E-03	0.904457	9.44E-02
76	1.35E-03	0.9185188	8.01E-02
77	5.68E-04	0.9298999	6.95E-02
78	1.38E-03	0.9380935	6.05E-02
79	4.60E-04	0.947892	5.16E-02
80	3.54E-05	0.9577829	4.22E-02
81	8.85E-04	0.963283	3.58E-02
82	0.00E+00	0.9703913	2.96E-02
83	4.26E-04	0.9781706	2.14E-02
84	0.00E+00	0.9851726	1.48E-02
85	2.84E-04	0.9901064	9.61E-03
86	0.00E+00	0.9957033	4.30E-03
87	7.10E-05	0.9961993	3.73E-03
88	3.54E-04	0.9969217	2.72E-03
89	5.32E-04	0.9978015	1.67E-03
90	0.00E+00	0.9981149	1.89E-03
91	7.09E-05	0.9982625	1.67E-03
92	3.54E-04	0.9976971	1.95E-03
93	0.00E+00	0.998016	1.98E-03
94	1.06E-04	0.9982966	1.60E-03
95	2.83E-04	0.9978741	1.84E-03
96	0.00E+00	0.9982198	1.78E-03
97	6.37E-04	0.9973817	1.98E-03
98	1.07E-04	0.9984327	1.46E-03
99	2.49E-04	0.9986864	1.07E-03
100	0.00E+00	0.9985119	1.49E-03
101	0.00E+00	0.998829	1.17E-03
102	1.07E-04	0.9990041	8.89E-04
103	7.11E-05	0.9983292	1.60E-03
104	1.78E-04	0.9986149	1.21E-03
105	0.00E+00	0.9989689	1.03E-03
106	1.78E-04	0.9987541	1.07E-03
107	0.00E+00	0.9990035	9.97E-04
108	0.00E+00	0.9985784	1.42E-03
109	7.11E-05	0.9988261	1.10E-03
110	0.00E+00	0.9985764	1.42E-03
111	2.85E-04	0.9986839	1.03E-03
112	0.00E+00	0.9994658	5.34E-04
113	0.00E+00	0.9992893	7.11E-04
114	0.00E+00	0.9995013	4.99E-04
115	0.00E+00	0.9993592	6.41E-04
116	0.00E+00	0.9990732	9.27E-04
117	3.55E-04	0.9988634	7.81E-04
118	0.00E+00	0.9998577	1.42E-04
119	0.00E+00	0.9994287	5.71E-04
120	0.00E+00	0.9989612	1.04E-03
121	0.00E+00	0.9986777	1.32E-03
122	1.37E-04	0.9986655	1.20E-03
123	1.42E-04	0.9991834	6.75E-04
124	5.33E-04	0.9984376	1.03E-03
125	2.84E-04	0.9991477	5.68E-04
126	5.69E-04	0.9991814	2.49E-04
127	0.00E+00	0.9992872	7.13E-04
128	0.00E+00	0.9995729	4.27E-04
129	0.00E+00	0.9996085	3.92E-04
130	0.00E+00	0.9993596	6.40E-04
131	0.00E+00	0.9992524	7.48E-04
132	1.07E-04	0.9991429	7.50E-04
133	1.42E-04	0.9998577	0.00E+00
134	7.11E-05	0.9994664	4.62E-04
135	7.11E-05	0.9987921	1.14E-03
136	0.00E+00	0.9990372	9.63E-04
137	0.00E+00	0.99968	3.20E-04
138	0.00E+00	0.9997869	2.13E-04
139	0.00E+00	0.9995014	4.99E-04
140	0.00E+00	0.9995385	4.62E-04
141	3.91E-04	0.9990748	5.34E-04
142	0.00E+00	0.9992887	7.11E-04
143	0.00E+00	0.9996441	3.56E-04
144	0.00E+00	0.9993944	6.06E-04
145	0.00E+00	0.9992869	7.13E-04
146	1.42E-04	0.9993249	5.33E-04
147	3.55E-05	0.9991487	8.16E-04
148	1.78E-04	0.9987563	1.07E-03
149	7.47E-04	0.9989679	2.85E-04
150	3.56E-04	0.9988242	8.19E-04
151	0.00E+00	0.9996446	3.55E-04
152	5.33E-04	0.9991826	2.84E-04
153	2.85E-04	0.9992887	4.27E-04
154	0.00E+00	0.9996082	3.92E-04
155	0.00E+00	0.9993952	6.05E-04
156	0.00E+00	0.9996445	3.55E-04
157	1.42E-04	0.9994317	4.26E-04
158	0.00E+00	0.999395	6.05E-04
159	1.42E-04	0.9998578	0.00E+00
160	7.10E-05	0.9994318	4.97E-04
161	2.85E-04	0.9986829	1.03E-03
162	2.49E-04	0.9993609	3.91E-04
163	2.49E-04	0.9993243	4.27E-04
164	0.00E+00	0.9993617	6.38E-04
165	0.00E+00	0.9995373	4.63E-04
166	1.78E-04	0.9996086	2.13E-04
167	2.84E-04	0.9992548	4.61E-04
168	0.00E+00	0.9996438	3.56E-04
169	0.00E+00	1	0.00E+00
170	0.00E+00	0.9991844	8.16E-04
171	2.50E-04	0.9990363	7.14E-04
172	8.51E-04	0.9987938	3.55E-04
